id,fighter_name,weight_pounds,date_of_birth,height_feet,height_inches
1,Tom Aaron,155,1978-07-13,,
2,Papy Abedi,185,1978-06-30,5,11
3,Shamil Abdurakhimov,235,1981-09-02,6,3
4,Danny Abbadi,155,1983-07-03,5,11
5,Hiroyuki Abe,145,,5,6
6,Ricardo Abreu,185,1984-04-27,5,11
7,Daichi Abe,170,1991-11-27,5,11
8,David Abbott,265,,6,0
9,Klidson Abreu,205,1992-12-24,6,0
10,Daniel Acacio,180,1977-12-27,5,8
11,Scott Adams,225,,6,0
12,Juan Adams,265,1992-01-16,6,5
13,Anthony Adams,185,1988-01-13,6,1
14,Sam Adkins,225,1965-04-26,6,3
15,Israel Adesanya,185,1989-07-22,6,4
16,Zarrukh Adashev,125,1992-07-29,5,5
17,Marcelo Aguiar,170,,5,10
18,Nick Agallar,155,1979-01-13,5,8
19,Mariya Agapova,125,1997-04-07,5,6
20,Edwin Aguilar,185,,5,10
21,Fabio Aguiar,185,1988-02-10,6,0
22,Jessica Aguilar,115,1982-05-08,5,3
23,Kevin Aguilar,155,1988-09-07,5,7
24,Christian Aguilera,170,1991-11-25,5,9
25,Hitomi Akano,135,1974-07-27,5,4
26,Mike Aina,155,,5,9
27,Rostem Akman,170,1991-12-19,5,10
28,Omari Akhmedov,185,1987-10-12,6,0
29,Razak Al-Hassan,205,1982-05-14,6,2
30,Yoshihiro Akiyama,170,1975-07-29,5,10
31,Herdem Alacabek,205,1991-06-07,6,2
32,Mostapha Al-Turk,245,1973-07-14,6,2
33,Javi Alanis,135,,5,6
34,Heili Alateng,135,1991-12-14,5,5
35,Brett Albee,225,,,
36,Amir Albazi,125,1993-10-27,5,5
37,Wes Albritton,188,,5,10
38,John Albert,135,1986-10-13,5,8
39,Aleksandra Albu,115,1990-07-14,5,2
40,Junior Albini,264,1991-03-15,6,3
41,Israel Albuquerque,185,,,
42,Juan Alcain,,,,
43,Ildemar Alcantara,185,1982-11-18,6,2
44,Alfonso Alcarez,145,1970-06-10,5,3
45,Iuri Alcantara,135,1980-08-04,5,9
46,Gilbert Aldana,250,1977-08-25,6,1
47,Hector Aldana,170,1988-08-17,5,11
